鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南港區,房地(土地+建物),臺北市南港區東新街118巷31~60號,18.34,住,,,1080220,土地3建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,89.38,3,2,2,有,有,20880000,233609,,0.0,0,含增建或未登記建物。;,RPXOMLMLLHOFFDA48CA
信義區,房地(土地+建物),臺北市信義區光復南路541~570號,16.59,商,,,1080220,土地1建物1車位0,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0771115,136.7,0,0,0,無,有,40800000,298464,,0.0,0,,RPOOMLQLLHOFFDA97CA
南港區,房地(土地+建物),臺北市南港區玉成街181巷1~30號,30.95,住,,,1080123,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,104.33000000000001,3,1,1,有,無,9600000,92016,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLRLLHOFFDA68CA
信義區,房地(土地+建物),臺北市信義區永吉路225巷1~30號,27.44,住,,,1080223,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070109,206.06,4,2,2,有,有,48250000,234155,,0.0,0,,RPSNMLNJMHOFFDA87CA
信義區,車位,臺北市信義區永吉路225巷1~30號,1.76,住,,,1080223,土地0建物0車位1,一層,十四層,其他,見其他登記事項,鋼筋混凝土造,1070109,35.32,0,0,0,有,有,2750000,,坡道平面,0.0,2750000,,RPTNMLNJMHOFFDA97CA
信義區,土地,祥和段二小段511~540地號,13.5,其他,,,1080226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,451440,33440,,0.0,0,包含公共設施保留地之交易。;,RPUNMLTJMHOFFDA68CA
南港區,車位,臺北市南港區重陽路190巷6弄1~30號,16.8,工,,,1080309,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,0790420,52.76,0,0,0,有,有,1100000,,坡道平面,0.0,1100000,,RPRPMLKKMHOFFDA77CA
北投區,房地(土地+建物),臺北市北投區大業路452巷1~30號,20.08,住,,,1080130,土地2建物1車位0,七層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850613,115.36,3,2,2,有,有,20250000,175537,,0.0,0,含增建或未登記建物。;,RPSQMLLLLHOFFEA18CA
士林區,土地,溪山段二小段571~600地號,3603.47,其他,,,1080129,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21800000,6050,,0.0,0,,RPTQMLLLLHOFFEA28CA
士林區,房地(土地+建物),臺北市士林區士東路266巷5弄1~30號,28.21,住,,,1080126,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700626,128.37,3,2,2,有,無,16680000,129937,,0.0,0,含增建或未登記建物。;,RPUQMLLLLHOFFEA38CA
